year,tax supported expenses,population,per capita cost, total authorized police members,authorized civilian compliment incl cadets,authorized cadets,residents per police officer,calls to communication centre,police initiated displatched events,citizen generated dispatched events,violent crimes total,violent crimes clearance rate pct,property crimes total,property crimes clearance rate pct,other crimes total,other crimes clearance rate pct,traffic offences,cdsa total,cdsa clearance rate pct,ycja total,,sworn caucasian,sworn indigenous,sworn visible minorities,sworn not declared,sworn male,sworn female,sworn total actual,,civilian caucasian,civilian aboriginal,civilian visible minorities,civilian not declared,civilian male,civilian female,civilian total actual,cadet caucasian,cadet aboriginal,cadet visible minorities,cadet not declared,cadet male,cadet female,cadet total actual
2009,181837268,674800,269.47,1348,368,,501,,,,,,,,,,,,,,,1169,151,91,,1213,198,1411,,362,22,29,,71,342,413,,,,,,,
2010,191542030,684061,280.01,1361,371,30,488,,,,10432,,38718,,4708,,,,,,,1157,148,95,,1200,200,1400,,396,25,29,,104,346,450,,,,,,,
2011,201776477,691778,291.68,1415,401,50,489,,,,8485,59.00,31862,13.00,4993,97.00,1567,857,95.00,233,,1195,156,100,,1230,221,1451,,382,25,32,,83,356,439,36,2,5,,39,4,43
2012,225949757,704799,320.59,1442,440,76,483,596963,49224,131145,8151,62.00,31108,15.00,5309,98.00,658,806,94.00,296,,1202,157,100,,1232,227,1459,,382,28,30,,91,349,440,62,8,6,,64,12,76
2013,243391662,699346,348.03,1463,465,60,478,530620,63606,122231,7968,64.50,25981,16.00,5011,98.50,625,840,88.90,293,,1246,158,103,,1277,230,1507,,402,35,38,,117,358,475,27,8,5,1,33,8,41
2014,256285804,709253,361.35,"1,430",417,60,496,"532,304","79,344","123,759","7,897",65.50,"27,225",16.90,4678,97.70,675,832,93.30,274,,1221,155,101,,1257,220,1477,,402,39,39,,132,348,480,37,11,4,3,41,14,55
2015,261085650,718357,363.45,"1,425",423,68,504,"541,594","72,613","127,886","8,981",68.50,"21,132",15.00,5206,97.00,738,803,91.10,318,,1090,158,107,96,1232,219,1451,,370,35,44,75,,,524,55,4,5,5,55,14,69
2016,284494357,735552,386.78,1421,504,77,518,"578,607","68,165","137,476","9,711",65.20,"34,820",11.70,5590,96.30,738,694,91.00,255,,1097,154,108,88,1227,220,1447,,369,37,51,68,181,344,525,58,6,8,2,64,10,74
2017,284005661,749534,378.91,1383,526,77,542,"585,984","80,540","144,591","10,418",63.70,"37,818",11.40,5767,96.80,668,798,96.90,209,,1057,151,104,72,1164,219,1383,,,,,,,,,,,,,,,
2018,290564015,749534,387.66,"1,360",554,75,551,"618,321","75,320","149,884","10,453",60.90,"44,825",11.70,5703,96.80,815,691,93.40,152,,1107,148,102,3,1146,214,1360,,,,,,,,,,,,,,,
2019,301421556,763922,394.57,1359,555,75,562,648247,75512,156158,10878,58.2,51483,14,5674,91.90,609,564,96.30,85,,1109,151,99,0,1144,215,1359,,,,,,,,,,,,,,,
2020,305029727,766894,397.75,1356,561,75,566,610774,83388,158329,10467,59.80,44455,18.00,7150,89.70,700,100,95.00,95,,,,,,,,,,,,,,,,,,,,,,,